a,omega,l,m,lambda,nu_real,nu_imag,|B_ref/B_inc|
7.0000000000e-01,3.0000000000e-01,2,2,2.6111290244e+00,2.0000000115e+00,2.9226410559e-09,4.9479415118e-03
7.0000000000e-01,3.0000000000e-01,3,2,8.9061310863e+00,2.8897456638e+00,4.9431274101e-19,1.2436921926e-03
7.0000000000e-01,3.0000000000e-01,3,3,8.3415807328e+00,2.8926212149e+00,-2.8720281518e-27,1.3364069666e-03
7.0000000000e-01,3.0000000000e-01,4,4,1.6011964673e+01,3.9212833297e+00,7.7277231307e-19,4.2698985290e-04
7.0000000000e-01,4.0000000000e-01,2,2,2.1528057473e+00,1.9999999891e+00,5.2239949573e-09,1.3496899545e-02
7.0000000000e-01,4.0000000000e-01,3,2,8.5531062668e+00,2.8008326620e+00,-5.1541182063e-19,4.1218152676e-03
7.0000000000e-01,4.0000000000e-01,3,3,7.7980830710e+00,2.8080485441e+00,-2.9642499987e-18,4.5406683012e-03
7.0000000000e-01,4.0000000000e-01,4,4,1.5361518063e+01,3.8604150561e+00,3.1169475248e-18,1.4301831942e-03
7.0000000000e-01,5.0000000000e-01,2,2,1.6966094016e+00,1.9999999995e+00,1.4156266472e-08,2.1203896093e-02
7.0000000000e-01,5.0000000000e-01,3,2,8.2058590864e+00,2.6795554816e+00,1.5638855811e-18,1.0550162417e-02
7.0000000000e-01,5.0000000000e-01,3,3,7.2590598601e+00,3.0000000060e+00,-5.4909084414e-09,8.1565319461e-03
7.0000000000e-01,5.0000000000e-01,4,4,1.4717060251e+01,3.7814301737e+00,-2.8795192050e-18,3.7025560575e-03
9.0000000000e-01,1.0000000000e-01,2,2,3.4021002160e+00,1.9805149449e+00,4.2094691290e-20,7.5112848153e-05
9.0000000000e-01,1.0000000000e-01,3,2,9.5248006198e+00,2.9878392372e+00,6.1609388090e-20,1.4161364786e-05
9.0000000000e-01,1.0000000000e-01,3,3,9.2840133346e+00,2.9879712028e+00,-9.1724738977e-20,1.4597995182e-05
9.0000000000e-01,1.0000000000e-01,4,4,1.7141170617e+01,3.9911355283e+00,2.6191328536e-20,4.7785915885e-06
9.0000000000e-01,2.0000000000e-01,2,2,2.8082321901e+00,1.9999999972e+00,-1.2088698387e-08,1.1355022205e-03
9.0000000000e-01,2.0000000000e-01,3,2,9.0592001971e+00,2.9518094809e+00,-2.4704786106e-19,2.4077324656e-04
9.0000000000e-01,2.0000000000e-01,3,3,8.5759050210e+00,2.9528376601e+00,-3.6112404230e-19,2.5602751546e-04
9.0000000000e-01,2.0000000000e-01,4,4,1.6292580021e+01,3.9651607687e+00,3.7949665287e-19,8.2287041937e-05
9.0000000000e-01,3.0000000000e-01,2,2,2.2181476863e+00,2.0000000187e+00,-2.2827793412e-09,5.0729650912e-03
9.0000000000e-01,3.0000000000e-01,3,2,8.6031842218e+00,2.8917085007e+00,4.9561464161e-19,1.2958945422e-03
9.0000000000e-01,3.0000000000e-01,3,3,7.8754490979e+00,2.8951787241e+00,4.8363496642e-19,1.4224642772e-03
9.0000000000e-01,3.0000000000e-01,4,4,1.5454070524e+01,3.9226350982e+00,-7.6830391307e-19,4.4878717146e-04
9.0000000000e-01,4.0000000000e-01,2,2,1.6316056936e+00,1.9999999914e+00,-7.7222180499e-09,1.4171721959e-02
9.0000000000e-01,4.0000000000e-01,3,2,8.1567228067e+00,2.8061246163e+00,5.0816391296e-19,4.3564810666e-03
9.0000000000e-01,4.0000000000e-01,3,3,7.1824154063e+00,2.8144153188e+00,-1.4717493917e-18,4.9461681088e-03
9.0000000000e-01,4.0000000000e-01,4,4,1.4625479139e+01,3.8637031626e+00,0.0000000000e+00,1.5295900962e-03
9.0000000000e-01,5.0000000000e-01,2,2,1.0483733823e+00,1.9999999982e+00,1.4225844320e-08,3.6413800884e-02
9.0000000000e-01,5.0000000000e-01,3,2,7.7197700678e+00,2.6920202070e+00,5.2227495551e-19,1.1322291298e-02
9.0000000000e-01,5.0000000000e-01,3,3,6.4965701890e+00,3.0000000003e+00,5.1689721396e-08,8.3335521013e-03
9.0000000000e-01,5.0000000000e-01,4,4,1.3806637655e+01,3.7881310510e+00,-1.5566517458e-18,4.0312488982e-03
